Date,Silver_10,Gold_10,Silver_30,Gold_30,Silver_100,Gold_100,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,STOCHk_14_3_3,STOCHd_14_3_3,Target
2021-06-24,-7.024802953827115,-6.261217328855059,-4.3479856638215315,-2.578733711707103,-11.39873375877886,-4.578679654261827,36.750783284681006,-0.36414814340943735,-0.2506689262106939,-0.11347921719874342,6.240070633536223,5.254515049048273,1.0
2021-06-25,-7.283778566665938,-5.3691300477949415,-3.55716562244668,-2.588007017135223,-1.14463325071578,-2.944552002953428,37.32910125686517,-0.3850380458194742,-0.21724706289658463,-0.16779098292288958,9.340244058679003,7.132137425085183,1.0
2021-06-28,-6.444475253506056,-4.527898305475456,-4.149454181586168,-3.172101205380392,-2.455539255310867,-2.8708643700320238,39.63864880536783,-0.38616790323158057,-0.17470153624695278,-0.21146636698462778,10.79759140450107,8.792635365572117,0.0
2021-06-29,-6.528418866674274,-4.944726404522783,-8.450107816491466,-5.6064230881860775,-1.3385190019146949,-1.458995764421564,36.00344485694061,-0.41025353848580437,-0.15902973720094127,-0.2512238012848631,11.82241196512017,10.653415809433433,1.0
2021-06-30,-5.881289087783734,-4.770096863236085,-7.589878939876818,-5.193275375533838,-3.1428112288284584,-2.21436716800047,40.94269129269296,-0.4010754833377099,-0.11988134564227743,-0.2811941376954325,15.871643491660274,12.830548953760522,1.0
2021-07-01,0.8938279735955759,0.1183885177658477,-6.901594891617949,-5.602510055730712,-5.422556940272384,-3.056935381498875,39.923418603429745,-0.396493537962737,-0.09223952021384357,-0.30425401774889343,17.66195164519671,15.118669033992404,0.0
2021-07-02,2.014795875929904,0.8314922206501482,-5.6003106478831945,-5.271552272727567,-3.33990002641437,-2.871469069912439,46.4053317305254,-0.3559977745006755,-0.0413950054014256,-0.3146027690992499,26.607471735088684,20.047022290648574,0.0
2021-07-06,0.5343069084220424,0.6566365950865228,-4.801078384788865,-4.4333113090306275,-3.398094468921326,-2.5589468765989563,42.434132584013554,-0.3462989652593045,-0.025356956928043628,-0.32094200833126085,28.244361043379968,24.171261474555138,0.0
2021-07-07,1.0136221058817592,1.4186764892845731,-6.372139618170501,-4.409422512069227,-3.446487733354324,-1.2822633624313617,41.91438586011788,-0.33826362539865684,-0.013857293653916802,-0.32440633174474004,35.49401751994382,30.115283432804176,0.0
2021-07-08,-0.5400672159949609,0.9706517580576471,-7.383106444092549,-5.189399992990009,-4.962855113056287,-1.2077294847856737,40.191349497863705,-0.339520806640337,-0.012091579916477524,-0.3274292267238595,33.19042272111447,32.309600428146105,0.0
2021-07-09,0.6296293312966411,1.9373746838845667,-5.895236278259102,-4.801980039099994,-4.055784588505891,0.7122217435950101,44.39189459078529,-0.3171720964850806,0.008205704191023178,-0.3253778006761038,40.916031127120526,36.533490456059624,0.0
2021-07-12,0.5175918938051026,1.6267040870880927,-6.096212376935914,-4.758134382823379,-4.016255968233294,1.9422971536477973,44.49510323307202,-0.29556940474935445,0.023846716741399487,-0.31941612149075393,43.63863498044606,39.2483629428937,0.0
2021-07-13,-0.39286230547943324,1.6745363697992444,-6.708820981502677,-4.89355982054862,-3.5528304653953264,2.0299988442762382,43.0325681234262,-0.2834126015388456,0.028802815961526673,-0.3122154175003723,47.404552588895456,43.98640623215403,0.0
2021-07-14,1.445580368994408,3.4887677726628152,-6.541323509635564,-4.1305362645176205,-3.691473979690643,2.7311633442067884,45.509834944376074,-0.2602080835462175,0.04160586716332387,-0.30181395070954137,48.2951330143745,46.44610686123869,0.0
2021-07-15,0.8025953645124259,3.252765642515983,-6.425178354618502,-4.146787710927261,-6.081971911722556,1.2010889372146294,47.911901571238865,-0.22877199618301702,0.058433563621219486,-0.2872055598042365,52.31550910624552,49.33839823650518,0.0
2021-07-16,-1.1428583968323751,2.1735444031357067,-6.128910099557212,-3.0301385555491045,-6.895182908018346,0.559741490206266,39.26974989736569,-0.2492391643525238,0.03037311636137019,-0.279612280713894,43.71502591176508,48.10855601079505,0.0
2021-07-19,-5.116881550996131,1.4641521341521662,-9.874817203013691,-4.291464470357094,-9.803643126906913,0.6846986523407784,32.41502165118845,-0.31436606444641413,-0.02780302698601611,-0.286563037460398,27.738992516032365,41.25650917801434,1.0
2021-07-20,-4.500267936034903,0.9701714197971842,-10.79961511078439,-4.528681052445827,-9.624778127596016,2.0570333350876124,31.077892173479427,-0.37369494754538835,-0.06970552806799224,-0.3039894194773961,9.019278447321605,26.824432291706373,1.0
2021-07-21,-3.339715512127844,0.07771437213780183,-8.937395883815732,-4.719370524373356,-4.40875516498327,4.328456101202302,36.05391305951578,-0.39509841942129853,-0.07288719995512194,-0.3222112194661766,9.833463881618174,15.5305782816574,1.0
2021-07-22,-2.31832443012017,0.30006804219389305,-9.362161093769169,-4.658776328262631,-4.811046717623781,4.78955007256894,38.38496444195536,-0.39723400873727854,-0.06001823141688156,-0.337215777320397,16.790746793558117,11.881163040832652,0.0
